"community","pagerank","pr score","degree centrality","dc score","eigen","eigen score"
"3435","101142.0","0.5","101142.0","1.0","k > components","not defined"
"3436","9601088.0","0.10298568474804008","9601088.0","0.21052631578947367","9812157.0","0.4111858789907781"
"3437","112183.0","0.20309209569800524","112183.0","0.4444444444444444","112183.0","0.623698047310982"
"3438","204226.0","0.007282025714677814","204226.0","0.016333938294010888","204051.0","0.47450072070479093"
"3439","110205.0","0.32456160227748454","110205.0","0.6666666666666666","110205.0","0.6015009550075457"
"3440","9905111.0","0.0016128677102004245","9905111.0","0.0037491133853480595","9905111.0","0.6987783273057854"
"3441","9611236.0","0.48648582432442095","9611236.0","1.0","9611236.0","0.7071067811865475"
"3442","9906066.0","0.5","9906066.0","1.0","k > components","not defined"
"3443","205179.0","0.008716392474728944","205179.0","0.019444444444444445","205179.0","0.4817019998495951"
"3444","9404145.0","0.5","9404145.0","1.0","k > components","not defined"
"3445","9411139.0","0.5","9411139.0","1.0","k > components","not defined"
"3446","9310158.0","0.32456160227748454","9310158.0","0.6666666666666666","9310158.0","0.6015009550075456"
"3447","201031.0","0.5","201031.0","1.0","k > components","not defined"
"3448","9610051.0","0.16264973529923754","9610051.0","0.3333333333333333","9703126.0","0.5183787186841892"
"3449","9909173.0","0.32456160227748454","9909173.0","0.6666666666666666","9909173.0","0.6015009550075459"
"3450","303133.0","0.0871161350655937","210101.0","0.19047619047619047","210101.0","0.45239583840363023"
"3451","9606155.0","0.357556987250496","9606155.0","0.75","9606155.0","0.6532814824381884"
"3452","201045.0","0.37735791292765264","201045.0","0.8","201045.0","0.6767662621499843"
"3453","110197.0","0.5","110197.0","1.0","k > components","not defined"
"3454","209122.0","0.010234173720070783","205218.0","0.02280130293159609","205218.0","0.5541562024452652"
"3455","9805061.0","0.48648582432442095","9805061.0","1.0","9805061.0","0.7071067811865477"
"3456","9805060.0","0.48648582432442095","9805060.0","1.0","9805060.0","0.7071067811865475"
"3457","9503051.0","0.5","9503051.0","1.0","k > components","not defined"
"3458","9403138.0","0.5","9403138.0","1.0","k > components","not defined"
"3459","104053.0","0.5","104053.0","1.0","k > components","not defined"
"3460","9509072.0","0.357556987250496","9509072.0","0.75","9509072.0","0.6532814824381884"
"3461","9905111.0","0.001148006084346554","9905111.0","0.002758382898026032","9905111.0","0.6985912058687199"
"3462","9410005.0","0.37735791292765264","9410005.0","0.8","9410005.0","0.6767662621499844"
"3463","109162.0","0.0029179705468273904","109162.0","0.007001909611712285","109162.0","0.6731838763069452"
"3464","9905111.0","0.002014110140449537","9905111.0","0.0047310756972111555","9905111.0","0.6989432974536038"
"3465","9905111.0","0.0017815599808863368","9905111.0","0.0043214202289184765","9905111.0","0.6984444709030989"
"3466","203124.0","0.009233778906946563","203124.0","0.02232142857142857","203124.0","0.5166505045264093"
"3467","201116.0","0.5","201116.0","1.0","k > components","not defined"
"3468","210153.0","0.01610140545316727","210153.0","0.03680981595092025","209225.0","0.3896741027262048"
"3469","209231.0","0.01769085298801147","209122.0","0.03888888888888889","207214.0","0.2891561150475894"
"3470","201164.0","0.5","201164.0","1.0","k > components","not defined"
"3471","201168.0","0.5","201168.0","1.0","k > components","not defined"
